"Source:","G:\TF_G\TFI2CEXT01\hw\sch_pcb\TFI2CEXT01A.kicad_sch"
"Date:","4/27/2021 7:43:28 AM"
"Tool:","Eeschema (5.99.0-10394-g2e15de97e0)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","25"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","UST_ID"
"","","C1","10uF","Device:C","Mlab_R:SMD-0805","~","5c70984812875079b91f8bbd"
"","","C2","100nF","Device:C","Mlab_R:SMD-0603","~","5c70984812875079b91f8bf2"
"","","C3","1uF","Device:C","Mlab_R:SMD-0603","~","5c70984812875079b91f8bc2"
"","","C4","100nF","Device:C","Mlab_R:SMD-0603","~","5c70984812875079b91f8bf2"
"","","D1","LED GREEN","Device:LED","Mlab_D:LED_1206","~","5c70984412875079b91f8895"
"","","D2","BZX585-B5V6.115","MLAB_D:D_ZENER","Diode_SMD:D_SOD-523","","60879d38128750769ee58e48"
"","","D3","LED RED","Device:LED","Mlab_D:LED_1206","~","5c70984412875079b91f8896"
"","","J1","SM04B-GHS-TB","MLAB_CONNECTORS_JST:SM04B-GHS-TB","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","","5c86273d1287500b4e0280be"
"","","J2","SM04B-GHS-TB","MLAB_CONNECTORS_JST:SM04B-GHS-TB","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","","5c86273d1287500b4e0280be"
"","","J3","SM04B-GHS-TB","MLAB_CONNECTORS_JST:SM04B-GHS-TB","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","","5c86273d1287500b4e0280be"
"","","J4","SM04B-GHS-TB","MLAB_CONNECTORS_JST:SM04B-GHS-TB","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","","5c86273d1287500b4e0280be"
"","","M1","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:dira_3mm","",""
"","","M2","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:dira_3mm","",""
"","","M3","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:dira_3mm","",""
"","","M4","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:dira_3mm","",""
"","","M5","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:dira_3mm","",""
"","","M6","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:dira_3mm","",""
"","","R1","180R","Device:R","Mlab_R:SMD-0603","~","5c70984512875079b91f8957"
"","","R2","10k","Device:R","Mlab_R:SMD-0603","~","5c70984512875079b91f8962"
"","","R3","10k","Device:R","Mlab_R:SMD-0603","~","5c70984512875079b91f8962"
"","","R4","180R","Device:R","Mlab_R:SMD-0603","~","5c70984512875079b91f8957"
"","","R5","10k","Device:R","Mlab_R:SMD-0603","~","5c70984512875079b91f8962"
"","","R6","10k","Device:R","Mlab_R:SMD-0603","~","5c70984512875079b91f8962"
"","","U1","MIC5504-3.3YM5","Regulator_Linear:MIC5504-3.3YM5","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf","5c7255e81287500b4e112ea2"
"","","U2","TCA4307","MLAB_IO:TCA4307","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","https://www.ti.com/lit/ds/symlink/tca4307.pdf?ts=1617607418171&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTCA4307","6087a3f3128750769ee58f03"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","UST_ID"
"1","1","C1","10uF","Device:C","Mlab_R:SMD-0805","~","5c70984812875079b91f8bbd"
"2","2","C2, C4","100nF","Device:C","Mlab_R:SMD-0603","~","5c70984812875079b91f8bf2"
"3","1","C3","1uF","Device:C","Mlab_R:SMD-0603","~","5c70984812875079b91f8bc2"
"4","1","D1","LED GREEN","Device:LED","Mlab_D:LED_1206","~","5c70984412875079b91f8895"
"5","1","D2","BZX585-B5V6.115","MLAB_D:D_ZENER","Diode_SMD:D_SOD-523","","60879d38128750769ee58e48"
"6","1","D3","LED RED","Device:LED","Mlab_D:LED_1206","~","5c70984412875079b91f8896"
"7","4","J1, J2, J3, J4","SM04B-GHS-TB","MLAB_CONNECTORS_JST:SM04B-GHS-TB","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","","5c86273d1287500b4e0280be"
"8","6","M1, M2, M3, M4, M5, M6","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:dira_3mm","",""
"9","2","R1, R4","180R","Device:R","Mlab_R:SMD-0603","~","5c70984512875079b91f8957"
"10","4","R2, R3, R5, R6","10k","Device:R","Mlab_R:SMD-0603","~","5c70984512875079b91f8962"
"11","1","U1","MIC5504-3.3YM5","Regulator_Linear:MIC5504-3.3YM5","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf","5c7255e81287500b4e112ea2"
"12","1","U2","TCA4307","MLAB_IO:TCA4307","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","https://www.ti.com/lit/ds/symlink/tca4307.pdf?ts=1617607418171&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTCA4307","6087a3f3128750769ee58f03"
